Infinitive,ока́нчиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ока́нчивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ока́нчивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ока́нчиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ока́нчивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ока́нчиваюсь
2nd Sing,ока́нчиваешься
3rd Sing,ока́нчивается
1st Pl,ока́нчиваемся
2nd Pl,ока́нчиваетесь
3rd Pl,ока́нчиваются
Past M,ока́нчивался
Past F,ока́нчивалась
Past N,ока́нчивалось
Past PL,ока́нчивались
Imp S,ока́нчивайся
Imp PL,ока́нчивайтесь
