Infinitive,оклевета́ть
Zaliznyak Class,6c(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оклевета́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оклеве́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оклевета́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оклевета́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оклевещу́
2nd Sing,оклеве́щешь
3rd Sing,оклеве́щет
1st Pl,оклеве́щем
2nd Pl,оклеве́щете
3rd Pl,оклеве́щут
Past M,оклевета́л
Past F,оклевета́ла
Past N,оклевета́ло
Past PL,оклевета́ли
Imp S,оклевещи́
Imp PL,оклевещи́те
