Infinitive,оказа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оказа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ока́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оказа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оказа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,окажу́
2nd Sing,ока́жешь
3rd Sing,ока́жет
1st Pl,ока́жем
2nd Pl,ока́жете
3rd Pl,ока́жут
Past M,оказа́л
Past F,оказа́ла
Past N,оказа́ло
Past PL,оказа́ли
Imp S,окажи́
Imp PL,окажи́те
