Infinitive,ока́пываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ока́пывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ока́пывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ока́пываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ока́пывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ока́пываюсь
2nd Sing,ока́пываешься
3rd Sing,ока́пывается
1st Pl,ока́пываемся
2nd Pl,ока́пываетесь
3rd Pl,ока́пываются
Past M,ока́пывался
Past F,ока́пывалась
Past N,ока́пывалось
Past PL,ока́пывались
Imp S,ока́пывайся
Imp PL,ока́пывайтесь
