Infinitive,окуну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,окуну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,окуну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,окуну́сь
2nd Sing,окунёшься
3rd Sing,окунётся
1st Pl,окунёмся
2nd Pl,окунётесь
3rd Pl,окуну́тся
Past M,окуну́лся
Past F,окуну́лась
Past N,окуну́лось
Past PL,окуну́лись
Imp S,окуни́сь
Imp PL,окуни́тесь
