Infinitive,оказа́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оказа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оказа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,окажу́сь
2nd Sing,ока́жешься
3rd Sing,ока́жется
1st Pl,ока́жемся
2nd Pl,ока́жетесь
3rd Pl,ока́жутся
Past M,оказа́лся
Past F,оказа́лась
Past N,оказа́лось
Past PL,оказа́лись
Imp S,окажи́сь
Imp PL,окажи́тесь
