Infinitive,окупи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,окупи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оку́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,окупи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,окупи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,окуплю́
2nd Sing,оку́пишь
3rd Sing,оку́пит
1st Pl,оку́пим
2nd Pl,оку́пите
3rd Pl,оку́пят
Past M,окупи́л
Past F,окупи́ла
Past N,окупи́ло
Past PL,окупи́ли
Imp S,окупи́
Imp PL,окупи́те
