Infinitive,окочене́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,окочене́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,окочене́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,окочене́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,окочене́ю
2nd Sing,окочене́ешь
3rd Sing,окочене́ет
1st Pl,окочене́ем
2nd Pl,окочене́ете
3rd Pl,окочене́ют
Past M,окочене́л
Past F,окочене́ла
Past N,окочене́ло
Past PL,окочене́ли
Imp S,окочене́й
Imp PL,окочене́йте
