Infinitive,угляде́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,угляде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,угляде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,угляде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,угляжу́
2nd Sing,угляди́шь
3rd Sing,угляди́т
1st Pl,угляди́м
2nd Pl,угляди́те
3rd Pl,углядя́т
Past M,угляде́л
Past F,угляде́ла
Past N,угляде́ло
Past PL,угляде́ли
Imp S,угляди́
Imp PL,угляди́те
