Infinitive,углубля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,углубля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,углубля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,углубля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,углубля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,углубля́юсь
2nd Sing,углубля́ешься
3rd Sing,углубля́ется
1st Pl,углубля́емся
2nd Pl,углубля́етесь
3rd Pl,углубля́ются
Past M,углубля́лся
Past F,углубля́лась
Past N,углубля́лось
Past PL,углубля́лись
Imp S,углубля́йся
Imp PL,углубля́йтесь
