Infinitive,углуби́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,углуби́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,углуби́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,углублю́сь
2nd Sing,углуби́шься
3rd Sing,углуби́тся
1st Pl,углуби́мся
2nd Pl,углуби́тесь
3rd Pl,углубя́тся
Past M,углуби́лся
Past F,углуби́лась
Past N,углуби́лось
Past PL,углуби́лись
Imp S,углуби́сь
Imp PL,углуби́тесь
