Infinitive,угора́здить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,угора́здивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,угора́здив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,угора́здивши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
2nd Sing,угора́здишь
3rd Sing,угора́здит
1st Pl,угора́здим
2nd Pl,угора́здите
3rd Pl,угора́здят
Past M,угора́здил
Past F,угора́здила
Past N,угора́здило
Past PL,угора́здили
Imp S,угора́зди
Imp PL,угора́здите
