Infinitive,угоре́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,угоре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,угоре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,угоре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,угорю́
2nd Sing,угори́шь
3rd Sing,угори́т
1st Pl,угори́м
2nd Pl,угори́те
3rd Pl,угоря́т
Past M,угоре́л
Past F,угоре́ла
Past N,угоре́ло
Past PL,угоре́ли
Imp S,угори́
Imp PL,угори́те
