Infinitive,угоща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,угоща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,угоща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,угоща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,угоща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,угоща́юсь
2nd Sing,угоща́ешься
3rd Sing,угоща́ется
1st Pl,угоща́емся
2nd Pl,угоща́етесь
3rd Pl,угоща́ются
Past M,угоща́лся
Past F,угоща́лась
Past N,угоща́лось
Past PL,угоща́лись
Imp S,угоща́йся
Imp PL,угоща́йтесь
