Infinitive,угада́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,угада́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уга́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,угада́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,угада́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,угада́ю
2nd Sing,угада́ешь
3rd Sing,угада́ет
1st Pl,угада́ем
2nd Pl,угада́ете
3rd Pl,угада́ют
Past M,угада́л
Past F,угада́ла
Past N,угада́ло
Past PL,угада́ли
Imp S,угада́й
Imp PL,угада́йте
