Infinitive,угрожа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,угрожа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,угрожа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,угрожа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,угрожа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,угрожа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,угрожа́ю
2nd Sing,угрожа́ешь
3rd Sing,угрожа́ет
1st Pl,угрожа́ем
2nd Pl,угрожа́ете
3rd Pl,угрожа́ют
Past M,угрожа́л
Past F,угрожа́ла
Past N,угрожа́ло
Past PL,угрожа́ли
Imp S,угрожа́й
Imp PL,угрожа́йте
