Infinitive,угото́вать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,угото́вавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,угото́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,угото́вав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,угото́вавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,угото́ваю
2nd Sing,угото́ваешь
3rd Sing,угото́вает
1st Pl,угото́ваем
2nd Pl,угото́ваете
3rd Pl,угото́вают
Past M,угото́вал
Past F,угото́вала
Past N,угото́вало
Past PL,угото́вали
Imp S,угото́вай
Imp PL,угото́вайте
