Infinitive,уга́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уга́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уга́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уга́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уга́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уга́дываюсь
2nd Sing,уга́дываешься
3rd Sing,уга́дывается
1st Pl,уга́дываемся
2nd Pl,уга́дываетесь
3rd Pl,уга́дываются
Past M,уга́дывался
Past F,уга́дывалась
Past N,уга́дывалось
Past PL,уга́дывались
Imp S,уга́дывайся
Imp PL,уга́дывайтесь
