Infinitive,угомони́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,угомони́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,угомони́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,угомоню́сь
2nd Sing,угомони́шься
3rd Sing,угомони́тся
1st Pl,угомони́мся
2nd Pl,угомони́тесь
3rd Pl,угомоня́тся
Past M,угомони́лся
Past F,угомони́лась
Past N,угомони́лось
Past PL,угомони́лись
Imp S,угомони́сь
Imp PL,угомони́тесь
