Infinitive,угоди́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,угоди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,угоди́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,угоди́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,угожу́
2nd Sing,угоди́шь
3rd Sing,угоди́т
1st Pl,угоди́м
2nd Pl,угоди́те
3rd Pl,угодя́т
Past M,угоди́л
Past F,угоди́ла
Past N,угоди́ло
Past PL,угоди́ли
Imp S,угоди́
Imp PL,угоди́те
