Infinitive,уга́снуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,уга́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,уга́снувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уга́снув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уга́сши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уга́сну
2nd Sing,уга́снешь
3rd Sing,уга́снет
1st Pl,уга́снем
2nd Pl,уга́снете
3rd Pl,уга́снут
Past M,уга́с
Past F,уга́сла
Past N,уга́сло
Past PL,уга́сли
Imp S,уга́сни
Imp PL,уга́сните
