Infinitive,угна́ть
Zaliznyak Class,5c/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,угна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,у́гнанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,угна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,угна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,угоню́
2nd Sing,уго́нишь
3rd Sing,уго́нит
1st Pl,уго́ним
2nd Pl,уго́ните
3rd Pl,уго́нят
Past M,угна́л
Past F,угнала́
Past N,угна́ло
Past PL,угна́ли
Imp S,угони́
Imp PL,угони́те
