Infinitive,золоти́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,золотя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,золоти́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,золотя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,золоти́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,золочу́сь
2nd Sing,золоти́шься
3rd Sing,золоти́тся
1st Pl,золоти́мся
2nd Pl,золоти́тесь
3rd Pl,золотя́тся
Past M,золоти́лся
Past F,золоти́лась
Past N,золоти́лось
Past PL,золоти́лись
Imp S,золоти́сь
Imp PL,золоти́тесь
