Infinitive,руга́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,руга́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,руга́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,руга́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,руга́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,руга́юсь
2nd Sing,руга́ешься
3rd Sing,руга́ется
1st Pl,руга́емся
2nd Pl,руга́етесь
3rd Pl,руга́ются
Past M,руга́лся
Past F,руга́лась
Past N,руга́лось
Past PL,руга́лись
Imp S,руга́йся
Imp PL,руга́йтесь
