Infinitive,руково́дствоваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,руково́дствующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,руково́дствовавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,руково́дствуясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,руково́дствовавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,руково́дствуюсь
2nd Sing,руково́дствуешься
3rd Sing,руково́дствуется
1st Pl,руково́дствуемся
2nd Pl,руково́дствуетесь
3rd Pl,руково́дствуются
Past M,руково́дствовался
Past F,руково́дствовалась
Past N,руково́дствовалось
Past PL,руково́дствовались
Imp S,руково́дствуйся
Imp PL,руково́дствуйтесь
