Infinitive,руча́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,руча́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,руча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,руча́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,руча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,руча́юсь
2nd Sing,руча́ешься
3rd Sing,руча́ется
1st Pl,руча́емся
2nd Pl,руча́етесь
3rd Pl,руча́ются
Past M,руча́лся
Past F,руча́лась
Past N,руча́лось
Past PL,руча́лись
Imp S,руча́йся
Imp PL,руча́йтесь
