Infinitive,ру́шиться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ру́шащийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ру́шившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ру́шась
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ру́шившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ру́шусь
2nd Sing,ру́шишься
3rd Sing,ру́шится
1st Pl,ру́шимся
2nd Pl,ру́шитесь
3rd Pl,ру́шатся
Past M,ру́шился
Past F,ру́шилась
Past N,ру́шилось
Past PL,ру́шились
Imp S,ру́шься
Imp PL,ру́шьтесь
