Infinitive,рубану́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рубану́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рубану́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,рубану́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,рубану́
2nd Sing,рубанёшь
3rd Sing,рубанёт
1st Pl,рубанём
2nd Pl,рубанёте
3rd Pl,рубану́т
Past M,рубану́л
Past F,рубану́ла
Past N,рубану́ло
Past PL,рубану́ли
Imp S,рубани́
Imp PL,рубани́те
