Infinitive,ру́хнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ру́хнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ру́хнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ру́хнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,ру́хну
2nd Sing,ру́хнешь
3rd Sing,ру́хнет
1st Pl,ру́хнем
2nd Pl,ру́хнете
3rd Pl,ру́хнут
Past M,ру́хнул
Past F,ру́хнула
Past N,ру́хнуло
Past PL,ру́хнули
Imp S,ру́хни
Imp PL,ру́хните
