Infinitive,руководи́ть
Zaliznyak Class,4b(-жд-)
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,руководя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,руководи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,руководи́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,руковождённый
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,руководя́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,руководи́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,руководи́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,руковожу́
2nd Sing,руководи́шь
3rd Sing,руководи́т
1st Pl,руководи́м
2nd Pl,руководи́те
3rd Pl,руководя́т
Past M,руководи́л
Past F,руководи́ла
Past N,руководи́ло
Past PL,руководи́ли
Imp S,руководи́
Imp PL,руководи́те
