Infinitive,укрыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,укрыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,укрыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,укрыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,укрыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,укрыва́юсь
2nd Sing,укрыва́ешься
3rd Sing,укрыва́ется
1st Pl,укрыва́емся
2nd Pl,укрыва́етесь
3rd Pl,укрыва́ются
Past M,укрыва́лся
Past F,укрыва́лась
Past N,укрыва́лось
Past PL,укрыва́лись
Imp S,укрыва́йся
Imp PL,укрыва́йтесь
