Infinitive,укрепля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,укрепля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,укрепля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,укрепля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,укрепля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,укрепля́юсь
2nd Sing,укрепля́ешься
3rd Sing,укрепля́ется
1st Pl,укрепля́емся
2nd Pl,укрепля́етесь
3rd Pl,укрепля́ются
Past M,укрепля́лся
Past F,укрепля́лась
Past N,укрепля́лось
Past PL,укрепля́лись
Imp S,укрепля́йся
Imp PL,укрепля́йтесь
