Infinitive,укорени́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,укорени́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,укорени́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,укореню́сь
2nd Sing,укорени́шься
3rd Sing,укорени́тся
1st Pl,укорени́мся
2nd Pl,укорени́тесь
3rd Pl,укореня́тся
Past M,укорени́лся
Past F,укорени́лась
Past N,укорени́лось
Past PL,укорени́лись
Imp S,укорени́сь
Imp PL,укорени́тесь
