Infinitive,уклоня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уклоня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уклоня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уклоня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уклоня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уклоня́юсь
2nd Sing,уклоня́ешься
3rd Sing,уклоня́ется
1st Pl,уклоня́емся
2nd Pl,уклоня́етесь
3rd Pl,уклоня́ются
Past M,уклоня́лся
Past F,уклоня́лась
Past N,уклоня́лось
Past PL,уклоня́лись
Imp S,уклоня́йся
Imp PL,уклоня́йтесь
