Infinitive,укра́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,укра́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,укра́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,укра́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,укра́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,укра́шу
2nd Sing,укра́сишь
3rd Sing,укра́сит
1st Pl,укра́сим
2nd Pl,укра́сите
3rd Pl,укра́сят
Past M,укра́сил
Past F,укра́сила
Past N,укра́сило
Past PL,укра́сили
Imp S,укра́сь
Imp PL,укра́сьте
