Infinitive,укати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,укати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ука́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,укати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,укати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,укачу́
2nd Sing,ука́тишь
3rd Sing,ука́тит
1st Pl,ука́тим
2nd Pl,ука́тите
3rd Pl,ука́тят
Past M,укати́л
Past F,укати́ла
Past N,укати́ло
Past PL,укати́ли
Imp S,укати́
Imp PL,укати́те
