Infinitive,укороти́ть
Zaliznyak Class,4b⑧
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,укороти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,укоро́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,укороти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,укороти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,укорочу́
2nd Sing,укороти́шь
3rd Sing,укороти́т
1st Pl,укороти́м
2nd Pl,укороти́те
3rd Pl,укоротя́т
Past M,укороти́л
Past F,укороти́ла
Past N,укороти́ло
Past PL,укороти́ли
Imp S,укороти́
Imp PL,укороти́те
