Infinitive,указа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,указа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ука́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,указа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,указа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,укажу́
2nd Sing,ука́жешь
3rd Sing,ука́жет
1st Pl,ука́жем
2nd Pl,ука́жете
3rd Pl,ука́жут
Past M,указа́л
Past F,указа́ла
Past N,указа́ло
Past PL,указа́ли
Imp S,укажи́
Imp PL,укажи́те
