Infinitive,укрепи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,укрепи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,укрепи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,укреплю́сь
2nd Sing,укрепи́шься
3rd Sing,укрепи́тся
1st Pl,укрепи́мся
2nd Pl,укрепи́тесь
3rd Pl,укрепя́тся
Past M,укрепи́лся
Past F,укрепи́лась
Past N,укрепи́лось
Past PL,укрепи́лись
Imp S,укрепи́сь
Imp PL,укрепи́тесь
