Infinitive,укры́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,укры́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,укры́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,укры́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,укры́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,укро́ю
2nd Sing,укро́ешь
3rd Sing,укро́ет
1st Pl,укро́ем
2nd Pl,укро́ете
3rd Pl,укро́ют
Past M,укры́л
Past F,укры́ла
Past N,укры́ло
Past PL,укры́ли
Imp S,укро́й
Imp PL,укро́йте
