Infinitive,укроти́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,укроти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,укрощённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,укроти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,укроти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,укрощу́
2nd Sing,укроти́шь
3rd Sing,укроти́т
1st Pl,укроти́м
2nd Pl,укроти́те
3rd Pl,укротя́т
Past M,укроти́л
Past F,укроти́ла
Past N,укроти́ло
Past PL,укроти́ли
Imp S,укроти́
Imp PL,укроти́те
