Infinitive,уку́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уку́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уку́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уку́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уку́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уку́таю
2nd Sing,уку́таешь
3rd Sing,уку́тает
1st Pl,уку́таем
2nd Pl,уку́таете
3rd Pl,уку́тают
Past M,уку́тал
Past F,уку́тала
Past N,уку́тало
Past PL,уку́тали
Imp S,уку́тай
Imp PL,уку́тайте
