Infinitive,укры́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,укры́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,укры́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,укро́юсь
2nd Sing,укро́ешься
3rd Sing,укро́ется
1st Pl,укро́емся
2nd Pl,укро́етесь
3rd Pl,укро́ются
Past M,укры́лся
Past F,укры́лась
Past N,укры́лось
Past PL,укры́лись
Imp S,укро́йся
Imp PL,укро́йтесь
