Infinitive,ука́зывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ука́зывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ука́зывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ука́зываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ука́зывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,ука́зывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,ука́зывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,ука́зываю
2nd Sing,ука́зываешь
3rd Sing,ука́зывает
1st Pl,ука́зываем
2nd Pl,ука́зываете
3rd Pl,ука́зывают
Past M,ука́зывал
Past F,ука́зывала
Past N,ука́зывало
Past PL,ука́зывали
Imp S,ука́зывай
Imp PL,ука́зывайте
