Infinitive,укуси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,укуси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уку́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,укуси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,укуси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,укушу́
2nd Sing,уку́сишь
3rd Sing,уку́сит
1st Pl,уку́сим
2nd Pl,уку́сите
3rd Pl,уку́сят
Past M,укуси́л
Past F,укуси́ла
Past N,укуси́ло
Past PL,укуси́ли
Imp S,укуси́
Imp PL,укуси́те
