Infinitive,уклони́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уклони́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уклони́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уклоню́сь
2nd Sing,уклони́шься
3rd Sing,уклони́тся
1st Pl,уклони́мся
2nd Pl,уклони́тесь
3rd Pl,уклоня́тся
Past M,уклони́лся
Past F,уклони́лась
Past N,уклони́лось
Past PL,уклони́лись
Imp S,уклони́сь
Imp PL,уклони́тесь
