Infinitive,укра́сть
Zaliznyak Class,7b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,укра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,укра́денный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,укра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,укра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,украду́
2nd Sing,украдёшь
3rd Sing,украдёт
1st Pl,украдём
2nd Pl,украдёте
3rd Pl,украду́т
Past M,укра́л
Past F,укра́ла
Past N,укра́ло
Past PL,укра́ли
Imp S,укради́
Imp PL,укради́те
