Infinitive,укла́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,укла́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,укла́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,укла́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,укла́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,укла́дываюсь
2nd Sing,укла́дываешься
3rd Sing,укла́дывается
1st Pl,укла́дываемся
2nd Pl,укла́дываетесь
3rd Pl,укла́дываются
Past M,укла́дывался
Past F,укла́дывалась
Past N,укла́дывалось
Past PL,укла́дывались
Imp S,укла́дывайся
Imp PL,укла́дывайтесь
