Infinitive,уката́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уката́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ука́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уката́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уката́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уката́ю
2nd Sing,уката́ешь
3rd Sing,уката́ет
1st Pl,уката́ем
2nd Pl,уката́ете
3rd Pl,уката́ют
Past M,уката́л
Past F,уката́ла
Past N,уката́ло
Past PL,уката́ли
Imp S,уката́й
Imp PL,уката́йте
