Infinitive,укомплектова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,укомплектова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,укомплекто́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,укомплектова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,укомплектова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,укомплекту́ю
2nd Sing,укомплекту́ешь
3rd Sing,укомплекту́ет
1st Pl,укомплекту́ем
2nd Pl,укомплекту́ете
3rd Pl,укомплекту́ют
Past M,укомплектова́л
Past F,укомплектова́ла
Past N,укомплектова́ло
Past PL,укомплектова́ли
Imp S,укомплекту́й
Imp PL,укомплекту́йте
