Infinitive,ука́зываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ука́зывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ука́зывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ука́зываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ука́зывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ука́зываюсь
2nd Sing,ука́зываешься
3rd Sing,ука́зывается
1st Pl,ука́зываемся
2nd Pl,ука́зываетесь
3rd Pl,ука́зываются
Past M,ука́зывался
Past F,ука́зывалась
Past N,ука́зывалось
Past PL,ука́зывались
Imp S,ука́зывайся
Imp PL,ука́зывайтесь
