Infinitive,укрепля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,укрепля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,укрепля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,укрепля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,укрепля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,укрепля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,укрепля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,укрепля́ю
2nd Sing,укрепля́ешь
3rd Sing,укрепля́ет
1st Pl,укрепля́ем
2nd Pl,укрепля́ете
3rd Pl,укрепля́ют
Past M,укрепля́л
Past F,укрепля́ла
Past N,укрепля́ло
Past PL,укрепля́ли
Imp S,укрепля́й
Imp PL,укрепля́йте
