Infinitive,взбодри́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взбодри́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взбодрённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взбодри́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взбодри́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взбодрю́
2nd Sing,взбодри́шь
3rd Sing,взбодри́т
1st Pl,взбодри́м
2nd Pl,взбодри́те
3rd Pl,взбодря́т
Past M,взбодри́л
Past F,взбодри́ла
Past N,взбодри́ло
Past PL,взбодри́ли
Imp S,взбодри́
Imp PL,взбодри́те
