Infinitive,вздува́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вздува́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вздува́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вздува́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вздува́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вздува́юсь
2nd Sing,вздува́ешься
3rd Sing,вздува́ется
1st Pl,вздува́емся
2nd Pl,вздува́етесь
3rd Pl,вздува́ются
Past M,вздува́лся
Past F,вздува́лась
Past N,вздува́лось
Past PL,вздува́лись
Imp S,вздува́йся
Imp PL,вздува́йтесь
