Infinitive,вздыма́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вздыма́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вздыма́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вздыма́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вздыма́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вздыма́юсь
2nd Sing,вздыма́ешься
3rd Sing,вздыма́ется
1st Pl,вздыма́емся
2nd Pl,вздыма́етесь
3rd Pl,вздыма́ются
Past M,вздыма́лся
Past F,вздыма́лась
Past N,вздыма́лось
Past PL,вздыма́лись
Imp S,вздыма́йся
Imp PL,вздыма́йтесь
