Infinitive,взлете́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взлете́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взлете́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,взлете́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,взлечу́
2nd Sing,взлети́шь
3rd Sing,взлети́т
1st Pl,взлети́м
2nd Pl,взлети́те
3rd Pl,взлетя́т
Past M,взлете́л
Past F,взлете́ла
Past N,взлете́ло
Past PL,взлете́ли
Imp S,взлети́
Imp PL,взлети́те
