Infinitive,взгляну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взгляну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взгляну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,взгляну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,взгляну́
2nd Sing,взгля́нешь
3rd Sing,взгля́нет
1st Pl,взгля́нем
2nd Pl,взгля́нете
3rd Pl,взгля́нут
Past M,взгляну́л
Past F,взгляну́ла
Past N,взгляну́ло
Past PL,взгляну́ли
Imp S,взгляни́
Imp PL,взгляни́те
