Infinitive,взлета́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взлета́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,взлета́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взлета́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,взлета́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,взлета́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,взлета́ю
2nd Sing,взлета́ешь
3rd Sing,взлета́ет
1st Pl,взлета́ем
2nd Pl,взлета́ете
3rd Pl,взлета́ют
Past M,взлета́л
Past F,взлета́ла
Past N,взлета́ло
Past PL,взлета́ли
Imp S,взлета́й
Imp PL,взлета́йте
