Infinitive,взбира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,взбира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,взбира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взбира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,взбира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взбира́юсь
2nd Sing,взбира́ешься
3rd Sing,взбира́ется
1st Pl,взбира́емся
2nd Pl,взбира́етесь
3rd Pl,взбира́ются
Past M,взбира́лся
Past F,взбира́лась
Past N,взбира́лось
Past PL,взбира́лись
Imp S,взбира́йся
Imp PL,взбира́йтесь
