Infinitive,взлома́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взлома́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взло́манный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взлома́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взлома́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взлома́ю
2nd Sing,взлома́ешь
3rd Sing,взлома́ет
1st Pl,взлома́ем
2nd Pl,взлома́ете
3rd Pl,взлома́ют
Past M,взлома́л
Past F,взлома́ла
Past N,взлома́ло
Past PL,взлома́ли
Imp S,взлома́й
Imp PL,взлома́йте
