Infinitive,взгля́дывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взгля́дывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,взгля́дывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взгля́дываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,взгля́дывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,взгля́дывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,взгля́дывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,взгля́дываю
2nd Sing,взгля́дываешь
3rd Sing,взгля́дывает
1st Pl,взгля́дываем
2nd Pl,взгля́дываете
3rd Pl,взгля́дывают
Past M,взгля́дывал
Past F,взгля́дывала
Past N,взгля́дывало
Past PL,взгля́дывали
Imp S,взгля́дывай
Imp PL,взгля́дывайте
