Infinitive,взмоли́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,взмоли́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взмоли́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,взмолю́сь
2nd Sing,взмо́лишься
3rd Sing,взмо́лится
1st Pl,взмо́лимся
2nd Pl,взмо́литесь
3rd Pl,взмо́лятся
Past M,взмоли́лся
Past F,взмоли́лась
Past N,взмоли́лось
Past PL,взмоли́лись
Imp S,взмоли́сь
Imp PL,взмоли́тесь
