Infinitive,взя́ть
Zaliznyak Class,14b/c'
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взя́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взя́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взя́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возьму́
2nd Sing,возьмёшь
3rd Sing,возьмёт
1st Pl,возьмём
2nd Pl,возьмёте
3rd Pl,возьму́т
Past M,взя́л
Past F,взяла́
Past N,взя́ло
Past PL,взя́ли
Imp S,возьми́
Imp PL,возьми́те
