Infinitive,вздохну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вздохну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вздохну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вздохну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вздохну́
2nd Sing,вздохнёшь
3rd Sing,вздохнёт
1st Pl,вздохнём
2nd Pl,вздохнёте
3rd Pl,вздохну́т
Past M,вздохну́л
Past F,вздохну́ла
Past N,вздохну́ло
Past PL,вздохну́ли
Imp S,вздохни́
Imp PL,вздохни́те
